method,project,repo_name,total_vars,overall_score,overall_score_wo_missing,overall_score_exact,overall_score_wo_missing_exact,missing_ratio,depth_1_score,depth_2_score,depth_3_score,depth_4_score,depth_5_score,depth_1_score_exact,depth_2_score_exact,depth_3_score_exact,depth_4_score_exact,depth_5_score_exact,repo_a_consistency,repo_b_consistency,lower_than_5_average,lower_than_10_average,lower_than_5_average_exact,lower_than_10_average_exact,builtin_num,builtin_average,builtin_average_exact,container_num,container_average,container_average_exact,union_num,union_average,union_average_exact,others_num,others_average,others_average_exact,userDef_num,userDef_average,userDef_average_exact
LaRY_Base,pre_commit,pre_commit,818,0.8296,0.8399,0.7592,0.7686,0.0122,0.898,0.6734,0.7434,,,0.8897,0.4915,0.2727,,,0,102,0.5929,0.5902,0.4679,0.452,510,0.8986,0.8627,110,0.6125,0.3818,55,0.7944,0.6,17,0.428,0.2353,126,0.8095,0.8095
LaRY_Base,typer,typer,518,0.7955,0.8032,0.7085,0.7154,0.0097,0.8423,0.697,0.7802,0.9265,,0.8364,0.5294,0.2941,0.0,,0,49,0.592,0.609,0.3477,0.3535,228,0.905,0.8772,12,0.7127,0.4167,159,0.7227,0.5157,4,0.3247,0.0,115,0.704,0.6957
LaRY_Base,rich,rich,1700,0.8842,0.899,0.8388,0.8529,0.0165,0.9119,0.8016,0.6135,0.75,,0.9011,0.6583,0.2174,0.0,,0,363,0.6547,0.655,0.4395,0.4516,717,0.9532,0.9275,42,0.6731,0.381,301,0.8175,0.6844,14,0.5445,0.3571,626,0.859,0.853
LaRY_Base,jinja2,jinja2,1251,0.6973,0.718,0.6155,0.6337,0.0288,0.7303,0.5977,0.7095,0.4333,0.3956,0.7212,0.3786,0.2069,0.0,0.0,0,246,0.4902,0.4984,0.2867,0.2937,456,0.8677,0.8421,43,0.5541,0.2093,222,0.601,0.3243,32,0.5813,0.25,498,0.6041,0.5964
LaRY_Base,werkzeug,werkzeug,1546,0.8252,0.8499,0.74,0.7622,0.0291,0.8675,0.7568,0.7205,0.6254,0.5864,0.8571,0.5789,0.3367,0.2222,0.0,0,373,0.6278,0.626,0.3297,0.3401,706,0.9082,0.8881,81,0.6333,0.3704,345,0.7699,0.5246,48,0.691,0.5625,366,0.7771,0.7623
LaRY_Base,pre_commit_hooks,pre_commit_hooks,255,0.8573,0.8745,0.6784,0.692,0.0196,0.9079,0.7429,0.7725,,,0.8647,0.5319,0.0263,,,0,22,0.7033,0.7111,0.575,0.5694,174,0.8867,0.8161,9,0.7165,0.3333,41,0.736,0.0244,8,0.8375,0.75,23,0.913,0.913
LaRY_Base,flake8,flake8,382,0.7835,0.8003,0.712,0.7273,0.0209,0.8293,0.693,0.6247,1.0,,0.8231,0.4904,0.3529,1.0,,0,64,0.6412,0.6199,0.5167,0.4889,182,0.884,0.8407,21,0.7104,0.4286,58,0.686,0.4828,7,0.3714,0.1429,114,0.7115,0.7105
LaRY_Base,flask,flask,496,0.8275,0.8462,0.7702,0.7876,0.0222,0.8598,0.7814,0.6454,0.6542,,0.855,0.6718,0.1739,0.25,,0,50,0.6396,0.6477,0.5,0.5133,187,0.9517,0.9412,4,0.8958,0.75,121,0.7207,0.5289,9,0.7311,0.5556,175,0.772,0.7657
LaRY_Base,click,click,1003,0.8261,0.8378,0.7408,0.7513,0.014,0.8639,0.7688,0.7397,0.6188,0.8885,0.8514,0.5949,0.375,0.25,0.0,0,122,0.6333,0.6452,0.3739,0.3942,398,0.9612,0.9322,42,0.7657,0.4524,256,0.7523,0.543,60,0.5246,0.4333,247,0.7683,0.7611
LaRY_Base,fastapi,fastapi,1527,0.7932,0.8085,0.685,0.6983,0.019,0.8669,0.7579,0.6926,0.894,0.7589,0.8648,0.6688,0.3509,0.4533,0.25,0,121,0.5366,0.5362,0.1886,0.202,411,0.9231,0.8929,18,0.5674,0.2222,931,0.7748,0.6219,25,0.6067,0.44,142,0.5989,0.5986
LaRY_Base,urllib3,urllib3,1108,0.804,0.8279,0.7103,0.7314,0.0289,0.853,0.7408,0.7432,0.1668,,0.8313,0.5714,0.3276,0.0,,0,144,0.5306,0.5299,0.3091,0.319,428,0.9092,0.8879,4,0.9,0.75,410,0.7349,0.5268,16,0.5736,0.4375,250,0.7505,0.724
LaRY_Base,black,black,763,0.7502,0.7582,0.6789,0.6861,0.0105,0.8109,0.595,0.6371,,,0.8074,0.3575,0.4091,,,0,168,0.6313,0.6378,0.4489,0.4599,398,0.9204,0.8693,25,0.7455,0.56,44,0.7543,0.5682,77,0.4221,0.1688,219,0.556,0.5479
