method,project,repo_name,total_vars,overall_score,overall_score_wo_missing,overall_score_exact,overall_score_wo_missing_exact,missing_ratio,depth_1_score,depth_2_score,depth_3_score,depth_4_score,depth_5_score,depth_1_score_exact,depth_2_score_exact,depth_3_score_exact,depth_4_score_exact,depth_5_score_exact,repo_a_consistency,repo_b_consistency,lower_than_5_average,lower_than_10_average,lower_than_5_average_exact,lower_than_10_average_exact,builtin_num,builtin_average,builtin_average_exact,container_num,container_average,container_average_exact,union_num,union_average,union_average_exact,others_num,others_average,others_average_exact,userDef_num,userDef_average,userDef_average_exact
LaRY_NoCheck,click,click,1003,0.8736,0.8869,0.7966,0.8087,0.015,0.9228,0.7939,0.7935,0.814,0.0,0.9137,0.6234,0.5,0.5,0.0,0,115,0.708,0.7238,0.4857,0.5092,398,0.9475,0.9121,42,0.7442,0.4524,256,0.7949,0.6211,60,0.5733,0.5,247,0.9312,0.9231
LaRY_NoCheck,pre_commit_hooks,pre_commit_hooks,255,0.9108,0.918,0.8392,0.8458,0.0078,0.9213,0.8403,0.9514,,,0.9,0.617,0.8421,,,0,7,0.8403,0.8404,0.6333,0.6338,174,0.9097,0.8506,9,0.8148,0.5556,41,0.9432,0.8293,8,0.9792,0.875,23,0.8758,0.8696
LaRY_NoCheck,flake8,flake8,382,0.8771,0.8818,0.7932,0.7974,0.0052,0.9298,0.7561,0.8049,1.0,,0.9231,0.5385,0.3529,1.0,,0,60,0.8943,0.849,0.7729,0.713,182,0.8986,0.8462,21,0.6732,0.3333,58,0.8029,0.569,7,0.9524,0.7143,114,0.9136,0.9123
LaRY_NoCheck,flask,flask,496,0.8844,0.8989,0.8226,0.8361,0.0161,0.9312,0.8077,0.6716,0.6667,,0.9231,0.6947,0.1739,0.25,,0,48,0.7406,0.7501,0.6119,0.625,187,0.9353,0.9144,4,0.3958,0.25,121,0.7858,0.5868,9,0.7613,0.6667,175,0.9157,0.9086
LaRY_NoCheck,fastapi,fastapi,1527,0.8614,0.8805,0.7728,0.7898,0.0216,0.9058,0.8582,0.7488,0.8914,0.5182,0.9046,0.7896,0.4971,0.4267,0.0,0,101,0.6475,0.6496,0.3727,0.3872,411,0.9139,0.8832,18,0.6226,0.3333,931,0.8575,0.7358,25,0.61,0.44,142,0.8105,0.8099
LaRY_NoCheck,urllib3,urllib3,1108,0.843,0.873,0.7401,0.7664,0.0343,0.9144,0.7528,0.7069,0.1695,,0.8901,0.5529,0.3448,0.0,,0,139,0.6533,0.6559,0.4486,0.4484,428,0.9295,0.9089,4,0.6953,0.5,410,0.7416,0.5146,16,0.6049,0.5,250,0.8791,0.84
LaRY_NoCheck,black,black,763,0.9243,0.9279,0.8781,0.8816,0.0039,0.9633,0.81,0.9103,,,0.9611,0.648,0.7955,,,0,80,0.7768,0.7897,0.63,0.6494,398,0.9455,0.8995,25,0.8258,0.64,44,0.9206,0.8864,77,0.8671,0.7532,219,0.9179,0.9087
LaRY_NoCheck,pre_commit,pre_commit,818,0.9133,0.9223,0.8778,0.8864,0.0098,0.9379,0.8583,0.8676,,,0.9359,0.7521,0.7273,,,0,104,0.757,0.7715,0.6197,0.6433,510,0.9181,0.8863,110,0.8923,0.8182,55,0.9035,0.8364,17,0.8235,0.7647,126,0.9286,0.9286
LaRY_NoCheck,typer,typer,518,0.8394,0.8525,0.7259,0.7373,0.0154,0.8819,0.7645,0.7883,0.0,,0.8364,0.5621,0.4118,0.0,,0,24,0.6674,0.6786,0.4957,0.4996,228,0.9044,0.8202,12,0.6382,0.5833,159,0.7762,0.5472,4,0.625,0.25,115,0.8263,0.8174
LaRY_NoCheck,jinja2,jinja2,1251,0.839,0.8519,0.7674,0.7792,0.0152,0.8788,0.7318,0.7626,0.7458,0.6374,0.8673,0.5679,0.2931,0.0,0.0,0,194,0.7441,0.7416,0.5546,0.5543,456,0.836,0.807,43,0.6479,0.4186,222,0.7603,0.527,32,0.7025,0.4062,498,0.902,0.8916
LaRY_NoCheck,werkzeug,werkzeug,1546,0.8854,0.8982,0.8047,0.8163,0.0142,0.9306,0.8061,0.7948,0.7145,0.5986,0.9178,0.6516,0.4388,0.1111,0.1111,0,329,0.7354,0.7389,0.4484,0.4661,706,0.9392,0.9178,81,0.6319,0.321,345,0.8354,0.6174,48,0.7042,0.6458,366,0.9086,0.8907
LaRY_NoCheck,rich,rich,1700,0.9217,0.941,0.8865,0.9051,0.0206,0.9432,0.856,0.7431,0.75,,0.9361,0.7417,0.4348,0.0,,0,514,0.7745,0.7702,0.614,0.6164,717,0.9443,0.9275,42,0.7062,0.4286,301,0.8761,0.7708,14,0.6987,0.5,626,0.9371,0.9345
