method,project,repo_name,total_vars,overall_score,overall_score_wo_missing,overall_score_exact,overall_score_wo_missing_exact,missing_ratio,depth_1_score,depth_2_score,depth_3_score,depth_4_score,depth_5_score,depth_1_score_exact,depth_2_score_exact,depth_3_score_exact,depth_4_score_exact,depth_5_score_exact,repo_a_consistency,repo_b_consistency,lower_than_5_average,lower_than_10_average,lower_than_5_average_exact,lower_than_10_average_exact,builtin_num,builtin_average,builtin_average_exact,container_num,container_average,container_average_exact,union_num,union_average,union_average_exact,others_num,others_average,others_average_exact,userDef_num,userDef_average,userDef_average_exact
hityper,black,black,763,0.1229,0.181,0.1035,0.1525,0.3211,0.1426,0.0657,0.1139,,,0.1426,0.0112,0.0,,,0,33,0.0955,0.0889,0.0133,0.0131,398,0.1406,0.1281,25,0.0833,0.0,44,0.1477,0.0,77,0.0158,0.0,219,0.1279,0.1279
hityper,click,click,1003,0.3633,0.409,0.2752,0.3098,0.1117,0.4318,0.2499,0.2341,0.375,0.5306,0.4313,0.019,0.0,0.0,0.0,0,54,0.2339,0.2257,0.0296,0.0327,398,0.4441,0.4271,42,0.1512,0.0,256,0.2913,0.0,60,0.0238,0.0167,247,0.4263,0.4251
hityper,fastapi,fastapi,1527,0.4022,0.4866,0.188,0.2274,0.1735,0.5606,0.2996,0.4204,0.3679,0.2435,0.5606,0.0065,0.0,0.0,0.0,0,87,0.1618,0.1605,0.0303,0.0328,411,0.562,0.5596,18,0.1354,0.0,931,0.3359,0.0,25,0.6362,0.2,142,0.3662,0.3662
hityper,flake8,flake8,382,0.2799,0.329,0.2251,0.2646,0.1492,0.3269,0.1691,0.2553,0.0,,0.3269,0.0096,0.0,0.0,,0,7,0.2011,0.1843,0.05,0.0444,182,0.1506,0.1374,21,0.0247,0.0,58,0.2243,0.0,7,0.7143,0.0,114,0.5351,0.5351
hityper,flask,flask,496,0.2976,0.3574,0.2339,0.2809,0.1673,0.3432,0.2072,0.1839,0.0625,,0.3432,0.0,0.0,0.0,,0,89,0.1376,0.1316,0.0714,0.0667,187,0.3182,0.3048,4,0.0074,0.0,121,0.2355,0.0,9,0.0662,0.0,175,0.3371,0.3371
hityper,jinja2,jinja2,1251,0.2369,0.3014,0.1815,0.2309,0.2142,0.2472,0.1958,0.2804,0.25,0.1834,0.2467,0.0143,0.0,0.0,0.0,0,64,0.1353,0.1386,0.0387,0.0425,456,0.2671,0.2544,43,0.1261,0.0,222,0.2477,0.0,32,0.1273,0.0312,498,0.2209,0.2209
hityper,pre_commit,pre_commit,818,0.2434,0.2655,0.2017,0.22,0.0831,0.2829,0.1511,0.2147,,,0.2829,0.0256,0.0,,,0,46,0.1724,0.1862,0.0064,0.0289,510,0.1683,0.1529,110,0.0585,0.0,55,0.3455,0.0,17,0.2843,0.2353,126,0.6587,0.6587
hityper,pre_commit_hooks,pre_commit_hooks,255,0.3867,0.4058,0.2941,0.3086,0.0471,0.4367,0.1675,0.4342,,,0.4353,0.0213,0.0,,,0,2,0.1593,0.1632,0.05,0.0455,174,0.3706,0.3391,9,0.0131,0.0,41,0.4268,0.0,8,0.0632,0.0,23,0.6957,0.6957
hityper,rich,rich,1700,0.3734,0.4295,0.3206,0.3687,0.1306,0.4154,0.2349,0.1494,0.3333,,0.4125,0.0083,0.0,0.0,,0,236,0.1675,0.1681,0.0805,0.0825,717,0.4255,0.4184,42,0.0963,0.0,301,0.2641,0.0,14,0.0731,0.0,626,0.3916,0.3914
hityper,typer,typer,518,0.1162,0.1358,0.0869,0.1016,0.1448,0.1336,0.0802,0.097,0.5278,,0.1333,0.0065,0.0,0.0,,0,15,0.1002,0.0954,0.0302,0.0261,228,0.1447,0.1447,12,0.2649,0.0,159,0.0749,0.0,4,0.0,0.0,115,0.1051,0.1043
hityper,urllib3,urllib3,1108,0.3501,0.3995,0.2464,0.2812,0.1236,0.4137,0.2502,0.3156,0.0487,,0.4096,0.0026,0.0,0.0,,0,121,0.2037,0.1956,0.061,0.0526,428,0.338,0.3294,4,0.3915,0.0,410,0.2591,0.0,16,0.2263,0.0625,250,0.5275,0.524
hityper,werkzeug,werkzeug,1546,0.3215,0.3914,0.251,0.3055,0.1785,0.3779,0.2187,0.2026,0.1496,0.1204,0.3767,0.0075,0.0,0.0,0.0,0,311,0.1731,0.1728,0.0375,0.0387,706,0.2923,0.2875,81,0.098,0.0,345,0.2731,0.0,48,0.0521,0.0,366,0.5084,0.5055
