method,project,repo_name,total_vars,overall_score,overall_score_wo_missing,overall_score_exact,overall_score_wo_missing_exact,missing_ratio,depth_1_score,depth_2_score,depth_3_score,depth_4_score,depth_5_score,depth_1_score_exact,depth_2_score_exact,depth_3_score_exact,depth_4_score_exact,depth_5_score_exact,repo_a_consistency,repo_b_consistency,lower_than_5_average,lower_than_10_average,lower_than_5_average_exact,lower_than_10_average_exact,builtin_num,builtin_average,builtin_average_exact,container_num,container_average,container_average_exact,union_num,union_average,union_average_exact,others_num,others_average,others_average_exact,userDef_num,userDef_average,userDef_average_exact
tiger,pre_commit_hooks,pre_commit_hooks,255,0.7325,0.7354,0.5529,0.5551,0.0039,0.7297,0.6993,0.7862,,,0.7176,0.4043,0.0,,,0,58,0.4795,0.5037,0.1,0.1263,174,0.7676,0.7299,9,0.5803,0.0,41,0.7247,0.0,8,0.4733,0.0,23,0.6304,0.6087
tiger,flask,flask,496,0.7571,0.771,0.6552,0.6674,0.0181,0.813,0.6746,0.4771,0.3417,,0.8077,0.3969,0.0,0.0,,0,259,0.4756,0.479,0.2929,0.2978,187,0.9417,0.8717,4,0.5959,0.25,121,0.639,0.3719,9,0.3851,0.0,175,0.6642,0.6629
tiger,typer,typer,518,0.6882,0.7585,0.5985,0.6596,0.0927,0.7126,0.68,0.493,0.5278,,0.7091,0.4771,0.0882,0.0,,0,147,0.4065,0.4124,0.2098,0.1941,228,0.8144,0.7895,12,0.4276,0.0,159,0.6754,0.4591,4,0.2991,0.0,115,0.4966,0.4957
tiger,flake8,flake8,382,0.6881,0.6881,0.5942,0.5942,0.0,0.7601,0.5274,0.5623,0.8125,,0.7577,0.25,0.2353,0.0,,0,191,0.4517,0.4395,0.2333,0.2222,182,0.7593,0.7308,21,0.5526,0.0,58,0.5294,0.2414,7,0.219,0.0,114,0.7088,0.7018
tiger,click,click,1003,0.6973,0.71,0.6042,0.6152,0.0179,0.7697,0.5993,0.4819,0.2615,0.1731,0.762,0.3987,0.0536,0.0,0.0,0,290,0.3805,0.4036,0.102,0.1276,398,0.9192,0.8945,42,0.4223,0.0476,256,0.566,0.3164,60,0.2536,0.2,247,0.6303,0.6275
tiger,fastapi,fastapi,1527,0.6602,0.7778,0.5422,0.6389,0.1513,0.7829,0.6386,0.5258,0.4164,0.1799,0.7813,0.5013,0.2865,0.0,0.0,0,402,0.2454,0.2547,0.1053,0.1163,411,0.8157,0.7981,18,0.3308,0.0,931,0.6123,0.4415,25,0.9525,0.64,142,0.5141,0.5141
tiger,rich,rich,1700,0.7109,0.7478,0.6424,0.6757,0.0494,0.7565,0.5653,0.4167,0.4586,,0.7481,0.2944,0.1304,0.0,,0,1055,0.3973,0.4053,0.1724,0.189,717,0.8024,0.7782,42,0.4168,0.0476,301,0.5908,0.3289,14,0.2567,0.0,626,0.6937,0.6917
tiger,urllib3,urllib3,1108,0.6766,0.7013,0.5785,0.5996,0.0352,0.7837,0.5363,0.4489,0.0645,,0.7711,0.3413,0.0,0.0,,0,322,0.3539,0.348,0.1153,0.1132,428,0.8277,0.7991,4,0.525,0.0,410,0.5177,0.3049,16,0.3656,0.0625,250,0.7008,0.692
tiger,werkzeug,werkzeug,1546,0.7591,0.7746,0.6514,0.6647,0.0201,0.8457,0.6406,0.4597,0.3516,0.2516,0.8346,0.386,0.0,0.0,0.0,0,695,0.3928,0.4065,0.0948,0.1068,706,0.889,0.8555,81,0.4096,0.0494,345,0.6523,0.3826,48,0.3733,0.0,366,0.737,0.7295
tiger,black,black,763,0.6745,0.7248,0.6016,0.6465,0.0695,0.7539,0.4957,0.4276,,,0.7519,0.2905,0.0227,,,0,259,0.454,0.4614,0.2356,0.2509,398,0.8003,0.7714,25,0.4592,0.08,44,0.6238,0.3636,77,0.2938,0.026,219,0.6145,0.6027
tiger,jinja2,jinja2,1251,0.6567,0.669,0.5588,0.5692,0.0184,0.7164,0.5148,0.4518,0.4908,0.3714,0.708,0.2071,0.0172,0.0,0.0,0,400,0.3122,0.3202,0.0868,0.0934,456,0.8477,0.8026,43,0.4002,0.0465,222,0.4888,0.1577,32,0.4916,0.1875,498,0.5895,0.5823
tiger,pre_commit,pre_commit,818,0.727,0.736,0.6174,0.625,0.0122,0.8106,0.5402,0.5783,,,0.806,0.2179,0.0455,,,0,365,0.3875,0.4352,0.1282,0.1744,510,0.788,0.7275,110,0.4233,0.0545,55,0.7324,0.5091,17,0.2316,0.0,126,0.8098,0.7937
