method,project,repo_name,total_vars,overall_score,overall_score_wo_missing,overall_score_exact,overall_score_wo_missing_exact,missing_ratio,depth_1_score,depth_2_score,depth_3_score,depth_4_score,depth_5_score,depth_1_score_exact,depth_2_score_exact,depth_3_score_exact,depth_4_score_exact,depth_5_score_exact,repo_a_consistency,repo_b_consistency,lower_than_5_average,lower_than_10_average,lower_than_5_average_exact,lower_than_10_average_exact,builtin_num,builtin_average,builtin_average_exact,container_num,container_average,container_average_exact,union_num,union_average,union_average_exact,others_num,others_average,others_average_exact,userDef_num,userDef_average,userDef_average_exact
PyTIR_NoDep,jinja2,jinja2,1251,0.8054,0.8272,0.7226,0.7422,0.0264,0.8489,0.7131,0.6336,0.575,0.373,0.8285,0.4929,0.2931,0.0,0.0,0,0,0.7174,0.717,0.5322,0.5307,456,0.8404,0.7895,43,0.6751,0.3256,222,0.6838,0.455,32,0.6658,0.3438,498,0.8478,0.8394
PyTIR_NoDep,werkzeug,werkzeug,1546,0.869,0.8804,0.7988,0.8093,0.0129,0.9215,0.7778,0.763,0.6088,0.6373,0.9119,0.6441,0.4184,0.1667,0.2222,0,0,0.693,0.6978,0.4427,0.4601,706,0.9133,0.8924,81,0.6355,0.3827,345,0.8021,0.6145,48,0.7996,0.7292,366,0.9074,0.8934
PyTIR_NoDep,flake8,flake8,382,0.8827,0.8873,0.8089,0.8132,0.0052,0.9161,0.8104,0.8063,1.0,,0.9115,0.625,0.3529,1.0,,0,0,0.8545,0.8373,0.6583,0.6296,182,0.9075,0.8516,21,0.7993,0.619,58,0.7993,0.5862,7,0.9539,0.7143,114,0.8964,0.8947
PyTIR_NoDep,flask,flask,496,0.9131,0.9319,0.8649,0.8827,0.0202,0.9513,0.8718,0.6277,0.675,,0.9438,0.7939,0.2174,0.25,,0,0,0.8139,0.8174,0.7179,0.7208,187,0.9711,0.9626,4,0.8958,0.75,121,0.8074,0.6612,9,0.7194,0.4444,175,0.9345,0.9257
PyTIR_NoDep,click,click,1003,0.8841,0.8921,0.8185,0.826,0.009,0.9276,0.8191,0.7716,0.8017,0.8885,0.9249,0.6835,0.4286,0.5,0.0,0,0,0.7388,0.7473,0.4868,0.5135,398,0.9606,0.9397,42,0.7678,0.5476,256,0.8226,0.6523,60,0.5311,0.4667,247,0.9302,0.9271
PyTIR_NoDep,fastapi,fastapi,1527,0.8242,0.8396,0.757,0.7712,0.0183,0.8986,0.8105,0.6843,0.8042,0.6471,0.8966,0.7364,0.5673,0.52,0.25,0,0,0.6538,0.6698,0.4061,0.4397,411,0.8897,0.8589,18,0.6262,0.3333,931,0.8026,0.7121,25,0.64,0.64,142,0.8345,0.831
PyTIR_NoDep,urllib3,urllib3,1108,0.8324,0.8548,0.7401,0.76,0.0262,0.8954,0.7536,0.6944,0.335,,0.8705,0.5847,0.3448,0.125,,0,0,0.6675,0.6656,0.4128,0.422,428,0.906,0.8832,4,0.8375,0.5,410,0.7427,0.5512,16,0.7547,0.5625,250,0.8585,0.82
PyTIR_NoDep,black,black,763,0.8766,0.8847,0.8191,0.8267,0.0092,0.9444,0.7232,0.667,,,0.9407,0.5587,0.3864,,,0,0,0.7314,0.7299,0.5689,0.5759,398,0.9347,0.892,25,0.8763,0.76,44,0.778,0.6136,77,0.6503,0.4545,219,0.8702,0.863
PyTIR_NoDep,pre_commit,pre_commit,818,0.875,0.8814,0.8386,0.8448,0.0073,0.9128,0.7926,0.7851,,,0.9093,0.688,0.6364,,,0,0,0.6769,0.6991,0.5812,0.6089,510,0.882,0.8471,110,0.806,0.7636,55,0.8172,0.7091,17,0.7222,0.6471,126,0.9524,0.9524
PyTIR_NoDep,typer,typer,518,0.8559,0.8938,0.7857,0.8206,0.0425,0.8874,0.7996,0.8282,0.0,,0.8758,0.6601,0.5,0.0,,0,0,0.6575,0.6772,0.533,0.5379,228,0.9187,0.8816,12,0.6535,0.5833,159,0.8094,0.6415,4,1.0,1.0,115,0.8116,0.8087
PyTIR_NoDep,pre_commit_hooks,pre_commit_hooks,255,0.9199,0.9345,0.8706,0.8845,0.0157,0.925,0.8713,0.9568,,,0.9118,0.7447,0.8421,,,0,0,0.8821,0.8806,0.75,0.7513,174,0.9185,0.8793,9,0.9074,0.7778,41,0.9531,0.8537,8,0.9375,0.875,23,0.8696,0.8696
PyTIR_NoDep,rich,rich,1700,0.9244,0.9455,0.8941,0.9146,0.0224,0.9461,0.8594,0.7216,0.75,,0.9414,0.7556,0.4783,0.0,,0,0,0.7622,0.7569,0.604,0.6056,717,0.9385,0.9233,42,0.7103,0.4762,301,0.8875,0.8007,14,0.6273,0.4286,626,0.9468,0.9441
