method,project,repo_name,total_vars,overall_score,overall_score_wo_missing,overall_score_exact,overall_score_wo_missing_exact,missing_ratio,depth_1_score,depth_2_score,depth_3_score,depth_4_score,depth_5_score,depth_1_score_exact,depth_2_score_exact,depth_3_score_exact,depth_4_score_exact,depth_5_score_exact,repo_a_consistency,repo_b_consistency,lower_than_5_average,lower_than_10_average,lower_than_5_average_exact,lower_than_10_average_exact,builtin_num,builtin_average,builtin_average_exact,container_num,container_average,container_average_exact,union_num,union_average,union_average_exact,others_num,others_average,others_average_exact,userDef_num,userDef_average,userDef_average_exact
PyTIR_R1,click,click,1003,0.9004,0.9086,0.8544,0.8622,0.009,0.9303,0.8434,0.884,0.9681,0.8885,0.9249,0.7595,0.625,0.75,0.0,0,0,0.784,0.7876,0.5866,0.6058,398,0.9384,0.9246,42,0.8618,0.619,256,0.864,0.7578,60,0.646,0.6,247,0.9453,0.9433
PyTIR_R1,pre_commit_hooks,pre_commit_hooks,255,0.9141,0.925,0.8784,0.8889,0.0118,0.9362,0.7909,0.9677,,,0.9353,0.6383,0.9211,,,0,0,0.7559,0.7673,0.6,0.6149,174,0.9224,0.8908,9,0.9074,0.7778,41,0.9096,0.878,8,0.7677,0.625,23,0.913,0.913
PyTIR_R1,flake8,flake8,382,0.9305,0.9354,0.8508,0.8553,0.0052,0.9468,0.9035,0.8423,1.0,,0.9423,0.7115,0.2941,1.0,,0,0,0.895,0.8991,0.6771,0.667,182,0.9358,0.9011,21,0.9218,0.8095,58,0.8922,0.5517,7,0.9824,0.7143,114,0.9401,0.9386
PyTIR_R1,flask,flask,496,0.8995,0.9162,0.8528,0.8686,0.0181,0.9275,0.8633,0.7061,0.8333,,0.9201,0.7939,0.2174,0.75,,0,0,0.8312,0.8339,0.7357,0.7428,187,0.9632,0.9465,4,1.0,1.0,121,0.8218,0.6777,9,0.7344,0.5556,175,0.8914,0.8857
PyTIR_R1,pre_commit,pre_commit,818,0.9165,0.9221,0.8814,0.8868,0.0061,0.9458,0.8505,0.8676,,,0.9359,0.7607,0.7727,,,0,0,0.8284,0.8414,0.7564,0.7683,510,0.9273,0.898,110,0.8421,0.7727,55,0.923,0.8364,17,0.7863,0.7059,126,0.9524,0.9524
PyTIR_R1,fastapi,fastapi,1527,0.801,0.8084,0.7315,0.7383,0.0092,0.9155,0.7247,0.7792,0.8736,0.731,0.9145,0.6701,0.5965,0.4933,0.25,0,0,0.7615,0.7732,0.5682,0.5936,411,0.916,0.9002,18,0.7067,0.3889,931,0.7459,0.6455,25,0.64,0.64,142,0.8697,0.8662
PyTIR_R1,jinja2,jinja2,1251,0.8681,0.8858,0.8058,0.8222,0.02,0.8968,0.8092,0.7787,0.25,0.4246,0.8717,0.6893,0.4655,0.0,0.0,0,0,0.7849,0.7824,0.6622,0.6528,456,0.8644,0.8158,43,0.8121,0.6047,222,0.8137,0.6622,32,0.7336,0.5312,498,0.9091,0.8956
PyTIR_R1,typer,typer,518,0.8769,0.8872,0.7606,0.7695,0.0116,0.8962,0.8475,0.8483,0.0,,0.8515,0.6078,0.5882,0.0,,0,0,0.716,0.7328,0.5718,0.5726,228,0.9043,0.8202,12,0.7169,0.6667,159,0.8505,0.5975,4,1.0,1.0,115,0.8716,0.8696
PyTIR_R1,urllib3,urllib3,1108,0.8789,0.9025,0.7951,0.8165,0.0262,0.9241,0.8221,0.8246,0.209,,0.9036,0.664,0.5,0.125,,0,0,0.7271,0.7261,0.5339,0.5362,428,0.9385,0.9159,4,0.8375,0.5,410,0.8218,0.6415,16,0.6229,0.5,250,0.8876,0.864
PyTIR_R1,black,black,763,0.9291,0.934,0.8886,0.8933,0.0052,0.9586,0.8756,0.7859,,,0.9519,0.7765,0.5682,,,0,0,0.8127,0.8115,0.7,0.7012,398,0.9625,0.9296,25,0.8635,0.76,44,0.933,0.8636,77,0.8347,0.7273,219,0.9084,0.8904
PyTIR_R1,rich,rich,1700,0.9213,0.9435,0.89,0.9114,0.0235,0.9438,0.8481,0.8025,0.75,,0.9353,0.75,0.6087,0.0,,0,0,0.7974,0.7895,0.6453,0.6458,717,0.9331,0.9135,42,0.7409,0.5476,301,0.866,0.7741,14,0.663,0.5,626,0.9522,0.9505
PyTIR_R1,werkzeug,werkzeug,1546,0.8993,0.9081,0.8299,0.838,0.0097,0.9374,0.842,0.7821,0.7289,0.7257,0.9276,0.7168,0.449,0.2778,0.0,0,0,0.7703,0.7774,0.4958,0.5184,706,0.9344,0.9108,81,0.7657,0.5432,345,0.8497,0.6522,48,0.8107,0.7708,366,0.9195,0.9126
