method,project,repo_name,total_vars,overall_score,overall_score_wo_missing,overall_score_exact,overall_score_wo_missing_exact,missing_ratio,depth_1_score,depth_2_score,depth_3_score,depth_4_score,depth_5_score,depth_1_score_exact,depth_2_score_exact,depth_3_score_exact,depth_4_score_exact,depth_5_score_exact,repo_a_consistency,repo_b_consistency,lower_than_5_average,lower_than_10_average,lower_than_5_average_exact,lower_than_10_average_exact,builtin_num,builtin_average,builtin_average_exact,container_num,container_average,container_average_exact,union_num,union_average,union_average_exact,others_num,others_average,others_average_exact,userDef_num,userDef_average,userDef_average_exact
TypeGen,pre_commit_hooks,pre_commit_hooks,255,0.5669,0.5714,0.4235,0.4269,0.0078,0.6082,0.3848,0.6075,,,0.5824,0.1915,0.0,,,0,21,0.461,0.4656,0.3,0.2929,174,0.5285,0.4828,9,0.5198,0.1111,41,0.6072,0.0488,8,0.1905,0.0,23,0.9348,0.913
TypeGen,flask,flask,496,0.3274,0.3447,0.2802,0.2951,0.0504,0.4116,0.1508,0.1523,0.0,,0.4112,0.0,0.0,0.0,,0,177,0.1801,0.181,0.1321,0.1315,187,0.3703,0.3529,4,0.0,0.0,121,0.1654,0.0,9,0.0,0.0,175,0.4178,0.4171
TypeGen,typer,typer,518,0.2362,0.2677,0.1834,0.2079,0.1178,0.264,0.206,0.1095,0.0,,0.2636,0.0458,0.0294,0.0,,0,79,0.1193,0.1268,0.0532,0.0504,228,0.271,0.2675,12,0.1332,0.0,159,0.188,0.0314,4,0.0,0.0,115,0.2528,0.2522
TypeGen,flake8,flake8,382,0.2543,0.2909,0.2251,0.2575,0.1257,0.327,0.1101,0.0396,0.0,,0.3269,0.0096,0.0,0.0,,0,25,0.0773,0.0781,0.0333,0.0296,182,0.2358,0.2198,21,0.0097,0.0,58,0.1384,0.0,7,0.1429,0.1429,114,0.3947,0.3947
TypeGen,click,click,1003,0.3578,0.3793,0.2901,0.3076,0.0568,0.4683,0.1925,0.0651,0.1375,0.6544,0.4649,0.0,0.0,0.0,0.0,0,154,0.0822,0.0917,0.0066,0.0153,398,0.3636,0.3467,42,0.0429,0.0,256,0.2279,0.0,60,0.0021,0.0,247,0.6229,0.6194
TypeGen,black,black,763,0.3597,0.4031,0.3237,0.3627,0.1075,0.4243,0.1974,0.228,,,0.4241,0.095,0.0227,,,0,125,0.2154,0.2164,0.0856,0.0918,398,0.4709,0.4573,25,0.2766,0.12,44,0.4044,0.2045,77,0.1031,0.0,219,0.2484,0.242
TypeGen,fastapi,fastapi,1527,0.3618,0.4357,0.2534,0.3052,0.1696,0.4768,0.2875,0.3565,0.3833,0.1979,0.4751,0.1494,0.1228,0.16,0.0,0,83,0.1898,0.1918,0.1083,0.1055,411,0.4811,0.4696,18,0.0958,0.0556,931,0.3041,0.1461,25,0.8334,0.32,142,0.3453,0.3451
TypeGen,jinja2,jinja2,1251,0.3614,0.4033,0.3022,0.3372,0.1039,0.3832,0.3177,0.265,0.3083,0.1022,0.3783,0.125,0.0172,0.0,0.0,0,127,0.1867,0.1895,0.068,0.0708,456,0.4609,0.4386,43,0.2817,0.1163,222,0.3061,0.0856,32,0.3523,0.1875,498,0.3023,0.2972
TypeGen,pre_commit,pre_commit,818,0.3682,0.3902,0.3264,0.3459,0.0562,0.4408,0.2006,0.2966,,,0.4377,0.0897,0.0,,,0,237,0.2145,0.2445,0.0897,0.1146,510,0.4102,0.3882,110,0.1894,0.0455,55,0.1308,0.0364,17,0.1164,0.0588,126,0.4921,0.4841
TypeGen,rich,rich,1700,0.4182,0.4678,0.3776,0.4224,0.1059,0.4491,0.3259,0.1188,0.2917,,0.4444,0.1583,0.0435,0.0,,0,332,0.2264,0.2215,0.1068,0.1075,717,0.4851,0.4686,42,0.2287,0.0952,301,0.334,0.1694,14,0.1809,0.0714,626,0.4003,0.3994
TypeGen,urllib3,urllib3,1108,0.39,0.4309,0.3384,0.3739,0.0948,0.4766,0.2739,0.2058,0.0312,,0.4714,0.1614,0.0172,0.0,,0,110,0.2395,0.2306,0.1192,0.1159,428,0.4592,0.4486,4,0.7125,0.5,410,0.2558,0.139,16,0.2499,0.0625,250,0.4956,0.492
TypeGen,werkzeug,werkzeug,1546,0.4249,0.4656,0.3752,0.4111,0.0873,0.5005,0.299,0.1844,0.4169,0.0556,0.4961,0.1729,0.0306,0.0556,0.0,0,192,0.2179,0.2193,0.076,0.0779,706,0.4827,0.4632,81,0.2342,0.0988,345,0.3008,0.1681,48,0.146,0.0417,366,0.5093,0.5055
