method,project,repo_name,total_vars,overall_score,overall_score_wo_missing,overall_score_exact,overall_score_wo_missing_exact,missing_ratio,depth_1_score,depth_2_score,depth_3_score,depth_4_score,depth_5_score,depth_1_score_exact,depth_2_score_exact,depth_3_score_exact,depth_4_score_exact,depth_5_score_exact,repo_a_consistency,repo_b_consistency,lower_than_5_average,lower_than_10_average,lower_than_5_average_exact,lower_than_10_average_exact,builtin_num,builtin_average,builtin_average_exact,container_num,container_average,container_average_exact,union_num,union_average,union_average_exact,others_num,others_average,others_average_exact,userDef_num,userDef_average,userDef_average_exact
quac,click,click,1003,0.3869,0.4307,0.3141,0.3496,0.1017,0.4915,0.2019,0.2838,0.0223,0.6544,0.4872,0.0285,0.0179,0.0,0.0,0,115,0.3194,0.3201,0.1316,0.1349,398,0.5955,0.5553,42,0.4158,0.0476,256,0.1397,0.0,60,0.1266,0.05,247,0.3654,0.3603
quac,flake8,flake8,382,0.2509,0.3052,0.1911,0.2325,0.178,0.275,0.1993,0.1824,0.5,,0.2731,0.0192,0.0,0.0,,0,52,0.3917,0.3554,0.175,0.1556,182,0.3198,0.2692,21,0.1805,0.0476,58,0.1087,0.0,7,0.5238,0.0,114,0.2093,0.2018
quac,jinja2,jinja2,1251,0.3185,0.3629,0.2526,0.2878,0.1223,0.3455,0.2553,0.2233,0.1667,0.1873,0.3341,0.0464,0.0172,0.0,0.0,0,286,0.2837,0.2843,0.1121,0.1172,456,0.4463,0.4035,43,0.448,0.2093,222,0.1477,0.0,32,0.398,0.0312,498,0.2613,0.245
quac,pre_commit_hooks,pre_commit_hooks,255,0.4474,0.4638,0.3451,0.3577,0.0353,0.5308,0.3102,0.244,,,0.5118,0.0213,0.0,,,0,40,0.4116,0.3989,0.15,0.1364,174,0.5555,0.4885,9,0.1907,0.0,41,0.2223,0.0,8,0.3882,0.0,23,0.1522,0.1304
quac,urllib3,urllib3,1108,0.2249,0.2806,0.1814,0.2264,0.1986,0.3121,0.1043,0.0433,0.0,,0.2997,0.0053,0.0,0.0,,0,111,0.1913,0.1734,0.0795,0.068,428,0.4118,0.3949,4,0.6542,0.25,410,0.0814,0.0,16,0.1873,0.0,250,0.1355,0.124
quac,werkzeug,werkzeug,1546,0.3682,0.4198,0.3034,0.3459,0.1229,0.454,0.1974,0.2178,0.2318,0.099,0.4491,0.0226,0.0102,0.0,0.0,0,332,0.2892,0.2804,0.1031,0.1,706,0.5413,0.5227,81,0.2842,0.0617,345,0.1733,0.0,48,0.1719,0.0,366,0.2622,0.2596
quac,black,black,763,0.3625,0.4037,0.2975,0.3314,0.1022,0.3964,0.2819,0.2734,,,0.3926,0.0838,0.0,,,0,184,0.279,0.2936,0.0911,0.1086,398,0.4377,0.3995,25,0.6353,0.32,44,0.1947,0.0,77,0.2,0.026,219,0.2854,0.2648
quac,flask,flask,496,0.2838,0.3251,0.2399,0.2748,0.127,0.3525,0.1343,0.1645,0.0633,,0.3491,0.0076,0.0,0.0,,0,68,0.214,0.2159,0.1286,0.1296,187,0.4602,0.4278,4,0.1949,0.0,121,0.1003,0.0,9,0.2041,0.0,175,0.2282,0.2229
quac,fastapi,fastapi,1527,0.2359,0.2837,0.2004,0.2409,0.1683,0.5988,0.0528,0.0938,0.0201,0.1042,0.5984,0.0065,0.0,0.0,0.0,0,63,0.2087,0.2156,0.0652,0.0664,411,0.6086,0.5961,18,0.2978,0.0556,931,0.0256,0.0,25,0.8344,0.0,142,0.4233,0.4225
quac,pre_commit,pre_commit,818,0.2554,0.2782,0.2054,0.2237,0.0819,0.2779,0.2103,0.16,,,0.2758,0.0556,0.0,,,0,212,0.2713,0.2762,0.0897,0.087,510,0.3101,0.2725,110,0.2206,0.1091,55,0.0966,0.0,17,0.2399,0.0,126,0.1357,0.1349
quac,rich,rich,1700,0.4027,0.4859,0.3676,0.4436,0.1712,0.4717,0.1733,0.0899,0.125,,0.465,0.0389,0.0,0.0,,0,275,0.3054,0.2968,0.1681,0.1688,717,0.6068,0.59,42,0.3264,0.1667,301,0.1166,0.0,14,0.151,0.0,626,0.3173,0.3115
quac,typer,typer,518,0.4051,0.4231,0.3475,0.3629,0.0425,0.5345,0.1842,0.1349,0.7083,,0.5303,0.0327,0.0,0.0,,0,67,0.3775,0.3579,0.2026,0.1907,228,0.5934,0.5789,12,0.6359,0.0833,159,0.1174,0.0,4,0.0,0.0,115,0.4198,0.4087
