method,project,errors
quac,click,283
quac,flake8,109
quac,jinja2,592
quac,pre_commit_hooks,94
quac,urllib3,272
quac,werkzeug,741
quac,black,288
quac,flask,123
quac,fastapi,185
quac,pre_commit,273
quac,rich,570
quac,typer,138
hityper,black,72
hityper,click,185
hityper,fastapi,226
hityper,flake8,17
hityper,flask,61
hityper,jinja2,200
hityper,pre_commit,114
hityper,pre_commit_hooks,5
hityper,pylint,810
hityper,rich,423
hityper,sphinx,688
hityper,taipy,0
hityper,typer,61
hityper,urllib3,189
hityper,werkzeug,566
PyTIR,flask,22
PyTIR,jinja2,59
PyTIR,click,16
PyTIR,black,11
PyTIR,pre_commit,26
PyTIR,werkzeug,176
PyTIR,pre_commit_hooks,0
PyTIR,flake8,9
PyTIR,fastapi,50
PyTIR,rich,55
PyTIR,taipy,0
PyTIR,typer,61
PyTIR,urllib3,69
PyTIR,sphinx,80
tiger,pre_commit_hooks,80
tiger,flask,342
tiger,typer,274
tiger,flake8,312
tiger,click,570
tiger,fastapi,867
tiger,rich,1613
tiger,urllib3,504
tiger,werkzeug,1026
tiger,black,532
tiger,jinja2,955
tiger,pre_commit,555
TypeGen,pre_commit_hooks,56
TypeGen,flask,636
TypeGen,typer,254
TypeGen,flake8,164
TypeGen,click,728
TypeGen,black,304
TypeGen,fastapi,392
TypeGen,jinja2,435
TypeGen,pre_commit,326
TypeGen,rich,566
TypeGen,urllib3,250
TypeGen,werkzeug,444
PyTIR_R1,click,5
PyTIR_R1,pre_commit_hooks,0
PyTIR_R1,flake8,5
PyTIR_R1,flask,12
PyTIR_R1,pre_commit,0
PyTIR_R1,fastapi,11
PyTIR_R1,jinja2,29
PyTIR_R1,typer,59
PyTIR_R1,urllib3,65
PyTIR_R1,black,2
PyTIR_R1,rich,30
PyTIR_R1,werkzeug,117
PyTIR_Base,pre_commit,217
PyTIR_Base,typer,174
PyTIR_Base,rich,734
PyTIR_Base,jinja2,625
PyTIR_Base,werkzeug,900
PyTIR_Base,pre_commit_hooks,41
PyTIR_Base,flake8,109
PyTIR_Base,flask,143
PyTIR_Base,click,273
PyTIR_Base,fastapi,331
PyTIR_Base,urllib3,368
PyTIR_Base,black,271
PyTIR_NoCheck,click,215
PyTIR_NoCheck,pre_commit_hooks,13
PyTIR_NoCheck,flake8,88
PyTIR_NoCheck,flask,137
PyTIR_NoCheck,fastapi,252
PyTIR_NoCheck,urllib3,314
PyTIR_NoCheck,black,121
PyTIR_NoCheck,pre_commit,166
PyTIR_NoCheck,typer,83
PyTIR_NoCheck,jinja2,473
PyTIR_NoCheck,werkzeug,717
PyTIR_NoCheck,rich,899
PyTIR_NoDep,jinja2,89
PyTIR_NoDep,werkzeug,162
PyTIR_NoDep,flake8,12
PyTIR_NoDep,flask,23
PyTIR_NoDep,click,20
PyTIR_NoDep,fastapi,69
PyTIR_NoDep,urllib3,78
PyTIR_NoDep,black,21
PyTIR_NoDep,pre_commit,35
PyTIR_NoDep,typer,81
PyTIR_NoDep,pre_commit_hooks,1
PyTIR_NoDep,rich,68
